device_id,ph,turbidity_ntu,tds_ppm,water_quality_category
soil-water-monitor-3,6.79,7.41,595.4,Moderate
soil-water-monitor-3,6.76,6.45,416.8,Safe
soil-water-monitor-2,7.29,2.92,576.9,Safe
soil-water-monitor-1,8.52,1.64,223.4,Safe
soil-water-monitor-3,6.78,3.73,611.9,Safe
soil-water-monitor-1,7.57,4.08,424.1,Safe
soil-water-monitor-1,6.93,1.71,312.6,Safe
soil-water-monitor-1,6.45,5.06,679.4,Moderate
soil-water-monitor-1,6.38,17.19,2232.9,Unsafe
soil-water-monitor-1,6.83,4.03,452.1,Safe
soil-water-monitor-1,5.65,4.87,663.7,Unsafe
soil-water-monitor-3,6.44,6.17,614.4,Moderate
soil-water-monitor-3,6.46,21.04,1080.9,Unsafe
soil-water-monitor-3,,4.44,436.5,Safe
soil-water-monitor-2,6.98,1.74,123.3,Safe
soil-water-monitor-1,7.26,1.27,130.0,Safe
soil-water-monitor-2,7.32,0.8,173.2,Safe
soil-water-monitor-3,7.92,1.14,314.8,Safe
soil-water-monitor-1,6.91,5.78,688.8,Moderate
soil-water-monitor-1,6.88,6.04,552.5,Moderate
soil-water-monitor-2,6.77,33.04,1470.9,Unsafe
soil-water-monitor-2,7.08,2.2,260.4,Safe
soil-water-monitor-3,5.87,83.72,1794.4,Critical
soil-water-monitor-1,8.28,0.22,151.2,Safe
soil-water-monitor-3,7.46,3.09,464.0,Safe
soil-water-monitor-2,7.2,0.0,215.7,Safe
soil-water-monitor-3,7.99,3.66,352.1,Safe
soil-water-monitor-3,6.81,2.33,259.7,Safe
soil-water-monitor-3,6.64,6.17,1034.8,Moderate
soil-water-monitor-2,4.34,25.8,1651.1,Critical
soil-water-monitor-3,5.21,13.94,868.6,Unsafe
soil-water-monitor-2,6.34,4.91,679.5,Moderate
soil-water-monitor-2,7.08,3.72,291.1,Safe
soil-water-monitor-2,6.72,20.75,1174.0,Unsafe
soil-water-monitor-2,7.78,4.97,159.7,Safe
soil-water-monitor-3,6.18,6.55,789.9,Moderate
soil-water-monitor-3,7.35,3.14,609.1,Safe
soil-water-monitor-2,6.13,6.33,674.5,Moderate
soil-water-monitor-1,6.24,2.01,451.1,Safe
soil-water-monitor-2,7.5,2.16,259.2,Safe
soil-water-monitor-1,6.82,3.41,266.5,Safe
soil-water-monitor-1,5.12,79.7,1814.0,Critical
soil-water-monitor-2,7.42,3.72,322.1,Safe
soil-water-monitor-1,6.82,1.69,259.5,Safe
soil-water-monitor-3,7.7,3.16,229.2,Safe
soil-water-monitor-2,6.52,6.24,324.8,Safe
soil-water-monitor-2,6.07,24.69,1620.4,Unsafe
soil-water-monitor-3,5.82,7.62,463.7,Moderate
soil-water-monitor-3,7.44,2.7,262.5,Safe
soil-water-monitor-2,6.76,4.17,624.6,Safe
soil-water-monitor-2,6.5,1.91,348.0,Safe
soil-water-monitor-1,3.43,20.24,1981.9,Critical
soil-water-monitor-1,8.08,3.94,555.7,Safe
soil-water-monitor-3,5.88,8.57,1177.8,Unsafe
soil-water-monitor-3,5.65,9.35,567.2,Unsafe
soil-water-monitor-3,6.76,1.11,286.1,Safe
soil-water-monitor-2,7.47,3.97,209.3,Safe
soil-water-monitor-1,4.03,37.45,3028.0,Critical
soil-water-monitor-1,7.4,1.37,221.9,Safe
soil-water-monitor-2,4.64,48.49,1562.1,Critical
soil-water-monitor-1,6.91,4.0,282.2,Safe
soil-water-monitor-1,5.47,8.39,1113.3,Unsafe
soil-water-monitor-2,8.28,3.3,169.9,Safe
soil-water-monitor-1,6.78,0.0,318.9,Safe
soil-water-monitor-2,7.42,1.35,176.1,Safe
soil-water-monitor-3,7.52,0.0,403.1,Safe
soil-water-monitor-3,7.13,11.89,603.9,Moderate
soil-water-monitor-1,6.1,3.59,657.8,Moderate
soil-water-monitor-2,6.76,5.69,693.3,Moderate
soil-water-monitor-3,6.54,2.15,250.7,Safe
soil-water-monitor-1,7.24,12.13,797.1,Moderate
soil-water-monitor-2,3.88,65.3,2134.4,Critical
soil-water-monitor-1,4.65,47.06,2353.0,Critical
soil-water-monitor-2,7.74,0.75,239.6,Safe
soil-water-monitor-2,7.26,1.49,256.8,Safe
soil-water-monitor-3,6.9,0.37,450.5,Safe
soil-water-monitor-1,7.87,1.69,398.9,Safe
soil-water-monitor-1,7.2,0.0,371.8,Safe
soil-water-monitor-1,7.64,2.31,257.5,Safe
soil-water-monitor-3,7.16,2.27,913.2,Safe
soil-water-monitor-3,7.12,1.7,285.6,Safe
soil-water-monitor-3,7.19,1.86,178.3,Safe
soil-water-monitor-3,4.37,65.45,1279.7,Critical
soil-water-monitor-2,6.32,8.91,904.4,Moderate
soil-water-monitor-3,6.58,44.15,1855.0,Unsafe
soil-water-monitor-2,6.43,1.1,330.9,Safe
soil-water-monitor-1,7.07,0.0,210.2,Safe
soil-water-monitor-3,7.1,1.13,296.9,Safe
soil-water-monitor-2,5.85,17.87,1077.0,Unsafe
soil-water-monitor-2,7.27,1.4,232.2,Safe
soil-water-monitor-2,7.13,0.43,182.7,Safe
soil-water-monitor-1,8.22,5.38,336.1,Safe
soil-water-monitor-2,7.8,7.43,562.2,Moderate
soil-water-monitor-1,8.29,0.65,287.1,Safe
soil-water-monitor-2,7.11,3.14,317.7,Safe
soil-water-monitor-1,6.18,7.31,512.4,Moderate
soil-water-monitor-1,6.74,6.4,570.4,Moderate
soil-water-monitor-1,6.34,43.22,1373.7,Unsafe
soil-water-monitor-2,7.21,2.24,491.1,Safe
soil-water-monitor-2,7.52,1.04,285.2,Safe
soil-water-monitor-3,6.85,35.87,1424.7,Unsafe
soil-water-monitor-3,,80.27,1331.3,Unsafe
soil-water-monitor-1,4.66,35.6,1480.5,Critical
soil-water-monitor-1,7.9,2.31,294.6,Safe
soil-water-monitor-2,7.67,1.17,238.6,Safe
soil-water-monitor-3,6.86,6.98,612.3,Moderate
soil-water-monitor-2,,44.57,2361.0,Critical
soil-water-monitor-1,8.32,0.35,223.1,Safe
soil-water-monitor-2,7.02,1.33,210.7,Safe
soil-water-monitor-3,6.13,7.89,673.2,Moderate
soil-water-monitor-3,4.03,106.0,2696.4,Critical
soil-water-monitor-1,5.45,9.44,773.4,Unsafe
soil-water-monitor-2,7.63,2.88,298.5,Safe
soil-water-monitor-2,4.33,18.35,1148.2,Critical
soil-water-monitor-3,5.39,25.02,1732.7,Unsafe
soil-water-monitor-1,7.96,4.46,171.1,Safe
soil-water-monitor-3,6.71,9.48,737.7,Moderate
soil-water-monitor-1,3.99,31.86,1317.6,Critical
soil-water-monitor-3,7.48,0.64,398.1,Safe
soil-water-monitor-1,5.59,19.64,1002.6,Critical
soil-water-monitor-2,7.02,1.82,168.6,Safe
soil-water-monitor-3,7.0,2.58,314.3,Safe
soil-water-monitor-2,5.34,28.52,1480.2,Critical
soil-water-monitor-2,6.95,6.18,673.0,Safe
soil-water-monitor-3,6.22,5.67,427.8,Safe
soil-water-monitor-2,4.99,80.92,2644.5,Critical
soil-water-monitor-1,4.93,79.4,2441.4,Critical
soil-water-monitor-3,5.83,133.94,2524.9,Critical
soil-water-monitor-3,7.94,1.59,373.3,Safe
soil-water-monitor-2,3.17,87.32,2476.0,Critical
soil-water-monitor-2,5.91,5.97,600.0,Unsafe
soil-water-monitor-3,6.82,2.29,218.1,Safe
soil-water-monitor-1,7.96,0.0,366.5,Safe
soil-water-monitor-2,3.64,69.03,2673.6,Critical
soil-water-monitor-1,5.8,59.71,1880.8,Critical
soil-water-monitor-3,6.97,1.51,333.7,Safe
soil-water-monitor-2,6.35,8.37,605.2,Moderate
soil-water-monitor-1,6.87,5.39,422.6,Safe
soil-water-monitor-1,7.44,2.58,381.4,Safe
soil-water-monitor-1,5.05,25.37,1422.0,Critical
soil-water-monitor-1,6.37,7.59,755.2,Moderate
soil-water-monitor-1,7.21,2.75,380.2,Safe
soil-water-monitor-1,7.62,3.94,390.3,Safe
soil-water-monitor-1,5.13,25.55,824.4,Unsafe
soil-water-monitor-3,7.73,2.58,252.6,Safe
soil-water-monitor-2,5.29,36.72,1417.8,Critical
soil-water-monitor-3,7.17,3.63,520.6,Safe
soil-water-monitor-2,7.01,0.0,295.9,Safe
soil-water-monitor-1,7.74,3.52,200.2,Safe
soil-water-monitor-3,6.93,3.94,238.8,Safe
soil-water-monitor-2,6.76,0.0,236.6,Safe
soil-water-monitor-1,6.45,1.51,299.1,Safe
soil-water-monitor-3,6.79,12.71,2587.0,Unsafe
soil-water-monitor-3,6.03,8.65,530.4,Moderate
soil-water-monitor-2,7.02,8.6,474.3,Safe
soil-water-monitor-1,5.32,18.76,1578.4,Critical
soil-water-monitor-1,7.54,0.24,196.9,Safe
soil-water-monitor-3,7.33,2.08,260.4,Safe
soil-water-monitor-2,6.67,12.26,625.9,Moderate
soil-water-monitor-3,8.06,4.29,201.9,Safe
soil-water-monitor-2,7.28,7.23,869.1,Moderate
soil-water-monitor-2,6.67,0.83,308.2,Safe
soil-water-monitor-3,6.58,2.56,219.3,Safe
soil-water-monitor-3,7.35,2.0,291.6,Safe
soil-water-monitor-2,7.88,2.32,527.9,Safe
soil-water-monitor-2,5.19,9.74,1048.4,Critical
soil-water-monitor-1,5.5,7.04,715.7,Unsafe
soil-water-monitor-1,6.5,7.38,906.6,Moderate
soil-water-monitor-3,7.41,1.91,147.3,Safe
soil-water-monitor-2,6.17,8.11,465.7,Moderate
soil-water-monitor-3,5.06,30.99,1146.5,Critical
soil-water-monitor-1,7.92,3.45,255.6,Safe
soil-water-monitor-2,6.78,2.16,196.6,Safe
soil-water-monitor-2,7.66,0.0,283.2,Safe
soil-water-monitor-2,5.75,2.89,666.0,Moderate
soil-water-monitor-2,7.21,0.6,245.3,Safe
soil-water-monitor-1,6.58,14.37,537.9,Moderate
soil-water-monitor-1,5.7,30.93,1871.5,Unsafe
soil-water-monitor-2,7.08,3.27,243.5,Safe
soil-water-monitor-3,8.29,3.58,230.5,Safe
soil-water-monitor-3,6.3,0.0,124.3,Safe
soil-water-monitor-2,6.35,1.65,420.1,Safe
soil-water-monitor-3,7.23,0.11,207.5,Safe
soil-water-monitor-1,7.34,0.78,354.9,Safe
soil-water-monitor-1,6.3,7.67,819.3,Moderate
soil-water-monitor-1,,5.55,287.2,Safe
soil-water-monitor-3,7.35,11.05,774.7,Moderate
soil-water-monitor-3,7.51,3.04,383.7,Safe
soil-water-monitor-2,6.99,0.64,418.7,Safe
soil-water-monitor-3,5.98,4.44,697.4,Moderate
soil-water-monitor-1,7.44,2.09,201.0,Safe
soil-water-monitor-1,6.2,4.26,354.6,Moderate
soil-water-monitor-2,7.42,0.69,256.2,Safe
soil-water-monitor-3,5.87,14.76,1148.9,Unsafe
soil-water-monitor-2,8.29,0.17,222.4,Safe
soil-water-monitor-1,7.02,2.43,354.3,Safe
soil-water-monitor-2,6.92,0.87,275.7,Safe
soil-water-monitor-2,7.91,0.96,321.3,Safe
soil-water-monitor-3,7.69,5.02,234.1,Safe
soil-water-monitor-3,7.67,2.66,235.9,Safe
soil-water-monitor-2,7.79,1.0,150.8,Safe
soil-water-monitor-3,6.44,22.34,2070.5,Unsafe
soil-water-monitor-3,7.33,0.32,270.3,Safe
soil-water-monitor-3,5.11,25.96,1085.4,Critical
soil-water-monitor-1,5.15,16.27,1010.9,Critical
soil-water-monitor-3,5.78,24.06,1324.5,Unsafe
soil-water-monitor-2,5.85,8.25,652.8,Moderate
soil-water-monitor-1,6.13,4.99,705.6,Moderate
soil-water-monitor-2,5.21,84.43,1840.4,Critical
soil-water-monitor-2,5.91,48.26,972.0,Unsafe
soil-water-monitor-3,6.82,6.85,683.4,Moderate
soil-water-monitor-1,7.89,0.0,280.0,Safe
soil-water-monitor-2,6.97,1.85,214.5,Safe
soil-water-monitor-2,5.14,28.73,1345.1,Critical
soil-water-monitor-1,7.46,1.62,381.1,Safe
soil-water-monitor-3,7.37,3.29,204.8,Safe
soil-water-monitor-1,5.27,27.81,1383.8,Critical
soil-water-monitor-3,6.16,6.72,626.9,Moderate
soil-water-monitor-1,7.82,0.0,314.8,Safe
soil-water-monitor-2,7.01,5.34,621.1,Moderate
soil-water-monitor-1,6.51,1.12,312.5,Safe
soil-water-monitor-2,6.71,11.27,1486.0,Unsafe
soil-water-monitor-2,7.09,7.99,583.2,Moderate
soil-water-monitor-2,4.85,69.28,2086.6,Critical
soil-water-monitor-1,5.93,8.11,714.8,Moderate
soil-water-monitor-3,7.05,1.45,334.4,Safe
soil-water-monitor-1,6.03,8.45,644.3,Unsafe
soil-water-monitor-2,7.92,1.22,375.0,Safe
soil-water-monitor-1,7.96,0.16,187.2,Safe
soil-water-monitor-1,,6.9,562.1,Moderate
soil-water-monitor-3,6.55,6.57,827.1,Moderate
soil-water-monitor-2,6.78,9.29,624.0,Moderate
soil-water-monitor-2,6.94,1.0,254.7,Safe
soil-water-monitor-3,,1.39,128.2,Safe
soil-water-monitor-1,7.13,1.19,452.6,Safe
soil-water-monitor-3,7.6,1.47,351.5,Safe
soil-water-monitor-3,5.61,22.37,1058.9,Unsafe
soil-water-monitor-1,7.14,17.95,957.7,Moderate
soil-water-monitor-3,7.51,1.34,304.8,Safe
soil-water-monitor-3,6.47,50.37,1412.5,Unsafe
soil-water-monitor-1,5.41,7.55,630.1,Unsafe
soil-water-monitor-1,7.18,1.77,223.4,Safe
soil-water-monitor-3,6.6,7.64,551.4,Moderate
soil-water-monitor-2,3.14,22.29,1630.8,Critical
soil-water-monitor-1,6.49,1.33,737.6,Safe
soil-water-monitor-2,6.48,8.22,612.0,Moderate
soil-water-monitor-1,7.37,0.0,390.9,Safe
soil-water-monitor-3,6.36,11.64,1645.0,Unsafe
soil-water-monitor-1,4.93,33.69,1843.9,Critical
soil-water-monitor-3,6.71,2.16,745.3,Safe
soil-water-monitor-1,4.85,27.77,1274.5,Critical
soil-water-monitor-1,7.49,1.25,211.9,Safe
soil-water-monitor-1,6.04,32.59,1461.6,Unsafe
soil-water-monitor-3,7.04,4.2,430.7,Safe
soil-water-monitor-3,6.74,7.61,1167.4,Moderate
soil-water-monitor-1,4.83,130.7,2111.0,Critical
soil-water-monitor-2,5.69,6.59,809.7,Unsafe
soil-water-monitor-3,6.76,9.65,494.4,Moderate
soil-water-monitor-2,6.52,5.88,350.3,Safe
soil-water-monitor-1,8.0,1.29,261.2,Safe
soil-water-monitor-2,5.14,15.21,2110.3,Critical
soil-water-monitor-2,,4.0,232.6,Safe
soil-water-monitor-1,7.43,0.1,259.0,Safe
soil-water-monitor-2,7.56,40.27,1107.4,Unsafe
soil-water-monitor-3,6.35,5.17,663.4,Moderate
soil-water-monitor-1,6.1,1.03,553.0,Moderate
soil-water-monitor-3,6.19,5.65,628.5,Moderate
soil-water-monitor-2,6.07,1.93,245.7,Safe
soil-water-monitor-2,8.18,4.12,799.0,Moderate
soil-water-monitor-2,6.78,7.3,424.9,Safe
soil-water-monitor-2,8.04,2.61,354.9,Safe
soil-water-monitor-2,4.2,93.16,2350.9,Critical
soil-water-monitor-3,7.35,7.65,904.8,Moderate
soil-water-monitor-2,6.93,0.5,198.6,Safe
soil-water-monitor-3,5.87,9.26,507.1,Unsafe
soil-water-monitor-1,7.46,5.17,231.1,Safe
soil-water-monitor-3,5.71,3.26,713.3,Moderate
soil-water-monitor-2,6.26,21.97,1889.0,Unsafe
soil-water-monitor-3,8.0,3.79,286.3,Safe
soil-water-monitor-2,2.01,79.03,1394.5,Critical
soil-water-monitor-1,6.54,9.77,498.9,Safe
soil-water-monitor-1,6.65,4.96,277.3,Safe
soil-water-monitor-3,7.64,1.91,475.5,Safe
soil-water-monitor-2,6.08,5.21,509.0,Moderate
soil-water-monitor-3,6.3,20.43,997.0,Unsafe
soil-water-monitor-2,7.8,2.83,443.0,Safe
soil-water-monitor-1,6.58,7.18,616.7,Moderate
soil-water-monitor-3,6.42,7.4,790.5,Moderate
soil-water-monitor-2,7.21,1.49,112.5,Safe
soil-water-monitor-2,6.89,10.88,581.9,Moderate
soil-water-monitor-3,7.72,3.35,405.3,Safe
soil-water-monitor-1,6.25,4.79,526.2,Moderate
soil-water-monitor-1,4.79,13.6,1479.3,Critical
soil-water-monitor-2,7.55,1.3,302.6,Safe
soil-water-monitor-1,7.43,1.61,256.5,Safe
soil-water-monitor-1,7.65,1.32,320.4,Safe
soil-water-monitor-2,5.84,7.83,544.5,Moderate
soil-water-monitor-1,6.4,19.3,1721.7,Unsafe
soil-water-monitor-1,6.15,2.14,714.4,Moderate
soil-water-monitor-1,7.3,1.49,196.3,Safe
soil-water-monitor-2,5.3,20.4,1729.3,Unsafe
soil-water-monitor-3,6.84,14.8,1453.4,Unsafe
soil-water-monitor-1,7.07,2.48,187.2,Safe
soil-water-monitor-1,6.97,3.98,181.5,Safe
soil-water-monitor-1,4.82,34.62,2033.8,Critical
soil-water-monitor-2,4.21,101.14,2208.1,Critical
soil-water-monitor-1,6.55,6.33,536.4,Moderate
soil-water-monitor-1,4.11,45.97,2723.0,Critical
soil-water-monitor-2,6.95,4.31,195.2,Safe
soil-water-monitor-3,6.5,5.9,704.7,Moderate
soil-water-monitor-3,6.29,6.42,476.0,Safe
soil-water-monitor-2,6.82,1.67,160.4,Safe
soil-water-monitor-2,6.28,6.6,851.0,Moderate
soil-water-monitor-1,6.29,1.49,218.5,Safe
soil-water-monitor-3,6.21,6.07,629.9,Moderate
soil-water-monitor-1,7.8,0.0,369.1,Safe
soil-water-monitor-1,5.19,27.98,3014.1,Critical
soil-water-monitor-1,7.18,2.84,179.5,Safe
soil-water-monitor-1,5.16,21.75,1085.5,Critical
soil-water-monitor-2,,20.79,1379.9,Unsafe
soil-water-monitor-1,5.79,8.58,638.1,Unsafe
soil-water-monitor-1,7.76,1.04,148.5,Safe
soil-water-monitor-1,6.73,1.04,464.6,Safe
soil-water-monitor-2,6.26,14.31,878.8,Unsafe
soil-water-monitor-1,7.05,6.12,595.0,Moderate
soil-water-monitor-2,7.71,4.93,253.5,Safe
soil-water-monitor-2,5.52,21.28,1792.5,Unsafe
soil-water-monitor-1,7.09,2.21,247.8,Safe
soil-water-monitor-3,6.81,2.5,340.4,Safe
soil-water-monitor-3,7.28,3.24,217.8,Safe
soil-water-monitor-3,7.42,2.9,383.0,Safe
soil-water-monitor-2,7.89,3.58,456.1,Safe
soil-water-monitor-1,6.79,4.83,683.3,Moderate
soil-water-monitor-1,7.34,2.38,245.6,Safe
soil-water-monitor-2,5.79,18.07,1050.5,Unsafe
soil-water-monitor-1,7.41,2.13,231.3,Safe
soil-water-monitor-2,7.37,2.89,111.5,Safe
soil-water-monitor-2,7.01,2.1,156.2,Safe
soil-water-monitor-1,5.52,27.77,1417.8,Critical
soil-water-monitor-2,7.52,0.0,200.1,Safe
soil-water-monitor-2,5.89,7.45,652.7,Unsafe
soil-water-monitor-3,7.94,1.87,287.0,Safe
soil-water-monitor-3,7.31,1.86,270.9,Safe
soil-water-monitor-1,7.22,0.76,293.0,Safe
soil-water-monitor-3,7.58,5.53,407.4,Safe
soil-water-monitor-2,4.13,159.99,2226.6,Critical
soil-water-monitor-1,7.96,3.61,90.4,Safe
soil-water-monitor-2,7.86,4.11,112.9,Safe
soil-water-monitor-2,6.64,0.0,339.4,Safe
soil-water-monitor-2,4.43,106.03,2346.9,Critical
soil-water-monitor-3,6.22,70.07,2421.6,Critical
soil-water-monitor-1,6.45,4.05,911.5,Moderate
soil-water-monitor-3,6.97,5.11,779.7,Moderate
soil-water-monitor-2,7.86,2.08,190.2,Safe
soil-water-monitor-3,5.06,7.96,735.0,Unsafe
soil-water-monitor-2,7.4,3.3,363.2,Safe
soil-water-monitor-1,6.14,6.86,514.2,Moderate
soil-water-monitor-3,6.2,21.13,1367.1,Unsafe
soil-water-monitor-3,6.7,0.84,174.8,Safe
soil-water-monitor-3,7.61,4.73,376.3,Safe
soil-water-monitor-3,5.88,13.34,1222.1,Unsafe
soil-water-monitor-1,4.92,12.56,1349.7,Critical
soil-water-monitor-2,7.83,3.5,326.3,Safe
soil-water-monitor-3,7.34,4.2,259.2,Safe
soil-water-monitor-1,7.27,2.81,376.2,Safe
soil-water-monitor-2,5.56,9.56,870.5,Unsafe
soil-water-monitor-1,7.5,1.01,229.6,Safe
soil-water-monitor-2,8.21,0.92,182.4,Safe
soil-water-monitor-1,3.69,61.92,3018.0,Critical
soil-water-monitor-1,7.29,1.57,379.0,Safe
soil-water-monitor-3,5.2,9.74,1223.3,Critical
soil-water-monitor-3,7.06,7.39,424.3,Safe
soil-water-monitor-3,6.0,6.08,586.4,Unsafe
soil-water-monitor-1,8.05,2.44,164.6,Safe
soil-water-monitor-2,6.08,13.33,371.5,Moderate
soil-water-monitor-2,5.33,29.44,1739.8,Critical
soil-water-monitor-3,5.94,5.82,752.1,Moderate
soil-water-monitor-1,6.48,1.45,743.3,Moderate
soil-water-monitor-1,8.41,2.55,250.0,Safe
soil-water-monitor-2,6.77,24.93,654.5,Moderate
soil-water-monitor-3,7.46,11.26,638.5,Moderate
soil-water-monitor-2,6.47,11.87,557.2,Moderate
soil-water-monitor-1,2.62,123.01,1699.2,Critical
soil-water-monitor-3,7.68,0.3,165.9,Safe
soil-water-monitor-1,7.15,4.33,378.0,Safe
soil-water-monitor-2,6.94,8.07,674.1,Moderate
soil-water-monitor-1,5.68,57.3,1861.3,Critical
soil-water-monitor-1,6.84,0.84,318.0,Safe
soil-water-monitor-2,5.81,7.3,939.0,Unsafe
soil-water-monitor-2,6.18,3.76,158.3,Safe
soil-water-monitor-1,7.07,2.75,271.0,Safe
soil-water-monitor-3,6.35,9.7,519.1,Moderate
soil-water-monitor-2,3.42,29.46,3848.6,Critical
soil-water-monitor-1,6.83,4.46,663.0,Moderate
soil-water-monitor-1,7.19,5.11,543.2,Moderate
soil-water-monitor-2,7.23,5.79,635.5,Safe
soil-water-monitor-2,7.01,10.05,794.8,Moderate
soil-water-monitor-1,7.3,1.15,257.5,Safe
soil-water-monitor-3,6.09,5.44,756.8,Moderate
soil-water-monitor-2,7.11,2.15,233.4,Safe
soil-water-monitor-1,5.96,24.82,1404.2,Unsafe
soil-water-monitor-2,7.07,0.0,199.0,Safe
soil-water-monitor-3,6.89,2.46,377.0,Safe
soil-water-monitor-3,7.32,2.95,223.4,Safe
soil-water-monitor-3,7.43,1.73,244.5,Safe
soil-water-monitor-3,6.44,3.46,657.9,Safe
soil-water-monitor-2,5.05,56.85,3571.6,Critical
soil-water-monitor-3,7.18,0.85,342.7,Safe
soil-water-monitor-3,7.96,0.09,164.7,Safe
soil-water-monitor-2,6.75,3.33,240.5,Safe
soil-water-monitor-3,6.75,10.06,1031.7,Unsafe
soil-water-monitor-2,6.4,4.07,409.6,Moderate
soil-water-monitor-1,3.79,23.01,3226.7,Critical
soil-water-monitor-1,7.56,2.79,192.9,Safe
soil-water-monitor-1,5.85,29.92,1040.6,Unsafe
soil-water-monitor-3,7.06,2.12,349.3,Safe
soil-water-monitor-3,5.94,23.18,1256.7,Unsafe
soil-water-monitor-2,7.49,1.5,261.4,Safe
soil-water-monitor-2,5.49,7.32,718.6,Unsafe
soil-water-monitor-3,8.04,3.11,261.2,Safe
soil-water-monitor-1,6.12,11.34,1293.2,Unsafe
soil-water-monitor-1,7.51,28.07,982.7,Moderate
soil-water-monitor-2,6.84,4.49,663.5,Moderate
soil-water-monitor-3,6.31,3.66,637.3,Moderate
soil-water-monitor-2,7.34,3.36,542.1,Safe
soil-water-monitor-2,7.37,8.04,753.8,Moderate
soil-water-monitor-1,7.4,1.17,363.5,Safe
soil-water-monitor-1,7.2,0.0,198.8,Safe
soil-water-monitor-2,7.03,1.03,194.0,Safe
soil-water-monitor-3,7.27,2.53,332.3,Safe
soil-water-monitor-1,7.62,25.34,886.1,Moderate
soil-water-monitor-3,6.96,1.87,339.3,Safe
soil-water-monitor-3,5.88,4.81,1123.1,Unsafe
soil-water-monitor-3,7.34,2.61,485.4,Safe
soil-water-monitor-1,6.98,0.39,304.1,Safe
soil-water-monitor-2,7.09,1.21,187.2,Safe
soil-water-monitor-2,6.64,2.34,298.0,Safe
soil-water-monitor-3,7.35,8.83,693.1,Moderate
soil-water-monitor-1,8.0,0.0,234.1,Safe
soil-water-monitor-2,7.19,1.24,173.6,Safe
soil-water-monitor-2,6.82,3.33,322.6,Safe
soil-water-monitor-2,6.45,6.22,640.2,Moderate
soil-water-monitor-1,5.37,42.46,1041.9,Critical
soil-water-monitor-2,5.94,79.93,2082.2,Critical
soil-water-monitor-1,6.97,2.25,237.8,Safe
soil-water-monitor-2,6.57,29.92,1403.4,Unsafe
soil-water-monitor-2,7.78,1.95,392.6,Safe
soil-water-monitor-1,4.65,43.55,2519.9,Critical
soil-water-monitor-1,5.8,29.67,2009.3,Unsafe
soil-water-monitor-1,7.09,1.28,234.2,Safe
soil-water-monitor-1,7.68,2.34,378.8,Safe
soil-water-monitor-3,5.69,11.28,775.5,Unsafe
soil-water-monitor-2,7.66,1.92,285.5,Safe
soil-water-monitor-3,6.4,29.61,1326.8,Unsafe
soil-water-monitor-3,,4.74,461.5,Safe
soil-water-monitor-2,7.3,2.79,483.1,Safe
soil-water-monitor-1,,12.16,481.5,Moderate
soil-water-monitor-3,6.39,2.61,284.2,Safe
soil-water-monitor-2,6.64,5.4,508.1,Safe
soil-water-monitor-2,7.1,7.78,596.0,Moderate
soil-water-monitor-1,6.7,1.79,724.8,Safe
soil-water-monitor-3,5.87,30.07,1012.0,Unsafe
soil-water-monitor-1,7.4,5.03,602.3,Safe
soil-water-monitor-1,7.43,21.69,2339.8,Unsafe
soil-water-monitor-3,6.39,11.14,625.7,Unsafe
soil-water-monitor-2,5.56,28.13,1729.3,Unsafe
soil-water-monitor-3,2.56,37.14,3209.4,Critical
soil-water-monitor-3,6.37,6.39,350.5,Safe
soil-water-monitor-1,7.21,1.72,289.7,Safe
soil-water-monitor-1,6.5,8.56,899.0,Moderate
soil-water-monitor-3,7.15,4.84,473.2,Safe
soil-water-monitor-3,7.75,2.78,389.6,Safe
soil-water-monitor-2,5.81,33.67,1939.9,Unsafe
soil-water-monitor-1,6.9,5.95,284.3,Safe
soil-water-monitor-2,6.26,6.59,458.5,Moderate
soil-water-monitor-2,7.43,2.81,318.8,Safe
soil-water-monitor-1,6.98,5.68,702.4,Moderate
soil-water-monitor-1,5.78,19.42,905.4,Unsafe
soil-water-monitor-3,6.82,0.0,307.7,Safe
soil-water-monitor-2,7.55,2.75,241.7,Safe
soil-water-monitor-2,7.11,1.8,349.7,Safe
soil-water-monitor-2,7.23,29.14,1650.3,Unsafe
soil-water-monitor-1,7.8,2.35,243.1,Safe
soil-water-monitor-3,7.07,4.41,512.2,Safe
soil-water-monitor-1,5.88,7.29,770.5,Unsafe
soil-water-monitor-1,6.2,2.69,259.3,Safe
soil-water-monitor-1,8.1,0.0,188.4,Safe
soil-water-monitor-1,7.08,0.58,236.5,Safe
soil-water-monitor-3,6.93,0.75,153.5,Safe
soil-water-monitor-1,7.09,1.46,197.1,Safe
soil-water-monitor-1,6.78,7.97,668.8,Moderate
soil-water-monitor-2,7.62,3.21,165.1,Safe
soil-water-monitor-2,7.73,3.51,247.7,Safe
soil-water-monitor-3,7.24,21.95,1110.7,Unsafe
soil-water-monitor-3,6.54,24.05,1491.2,Unsafe
soil-water-monitor-3,4.95,94.69,2585.2,Critical
soil-water-monitor-3,5.81,6.21,628.4,Unsafe
soil-water-monitor-1,6.58,8.63,886.4,Moderate
soil-water-monitor-2,7.36,5.97,577.6,Moderate
soil-water-monitor-3,6.85,2.97,1025.9,Safe
soil-water-monitor-3,6.04,27.65,1491.5,Unsafe
soil-water-monitor-3,6.82,7.25,818.2,Moderate
soil-water-monitor-3,5.3,16.18,1923.7,Critical
soil-water-monitor-3,6.19,2.67,858.7,Moderate
